"","OfferContactDate","CustomerID","ApplianceID","Brand","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"59","09/03/2017",11241,11425,"A","B","F","AW",4,1,1,"A",1,8.04
"60","09/03/2017",5736,5265,"A","B","E","FF",4,0,1,"A",1,8.33
"61","09/03/2017",13836,14165,"A","B","E","FF",2,0,1,"A",1,8.66
"62","09/03/2017",4078,3203,"A","B","F","FR",2,1,26,"A",8,8.68
"63","09/03/2017",6559,6282,"A","B","E","AW",2,0,4,"A",3,8.57
"64","09/03/2017",4642,3893,"A","C","E","CK",2,2,2,"A",2,8.19
"65","09/03/2017",11116,11297,"A","C","F","DW",2,5,5,"A",5,8.27
"66","09/03/2017",3578,2579,"A","A","E","AW",2,1,2,"A",2,8.61
"67","09/03/2017",6852,6633,"A","B","E","FZ",4,0,9,"A",5,8.76
"68","09/03/2017",12255,12481,"A","B","E","HB",2,0,1,"A",2,8.72
"69","09/03/2017",1160,6557,"A","B","E","FF",3,1,3,"A",2,8.53
"70","09/03/2017",13422,13718,"A","B","F","FF",3,0,1,"A",1,8.54
"71","09/03/2017",4736,4008,"A","A","F","FF",2,0,1,"A",1,8.52
"72","09/03/2017",13033,13296,"A","B","F","FF",4,0,1,"A",1,8.28
"73","09/03/2017",4849,4145,"A","B","F","OV",1,0,3,"A",2,8.75
"74","09/03/2017",4655,3908,"A","A","D","FF",3,0,2,"A",2,8.69
"75","09/03/2017",6801,6574,"A","A","D","OV",2,0,6,"A",6,8.22
"76","09/03/2017",13624,13937,"A","B","F","AW",2,0,1,"A",1,8.45
"77","09/03/2017",13287,13571,"A","B","E","AW",3,0,3,"A",3,8.47
"78","09/03/2017",5479,4934,"A","C","E","AW",3,0,2,"A",2,8.32
"79","09/03/2017",12365,12601,"A","B","E","AW",2,1,1,"A",1,8.26
"80","14/03/2017",14356,14712,"A","B","F","DW",3,1,0,"A",1,8.93
"81","09/03/2017",6164,5788,"A","B","F","FF",3,1,2,"A",2,8.22
"82","09/03/2017",11695,11895,"A","B","E","TD",2,0,1,"A",1,8.12
"83","09/03/2017",5617,5118,"A","B","E","AW",2,2,15,"A",7,8.39
"84","09/03/2017",4540,3769,"A","B","F","FF",3,0,1,"A",1,8.44
"85","09/03/2017",12154,12377,"A","A","D","CK",3,0,2,"A",3,8.25
"86","09/03/2017",14966,216,"A","B","E","FF",10,0,0,"A",1,8.02
"87","09/03/2017",11674,11873,"A","B","E","FF",3,0,2,"A",2,8.82
"88","09/03/2017",1612,15480,"A","B","E","CK",4,0,1,"A",2,8.59
"89","09/03/2017",3389,2350,"A","B","E","FZ",3,0,1,"A",1,8.79
"90","09/03/2017",1899,518,"A","A","F","FF",2,1,11,"A",5,8.72
"91","09/03/2017",3306,2252,"A","B","F","DW",3,0,3,"A",4,8.87
"92","09/03/2017",810,4352,"A","A","F","DW",2,1,9,"A",8,8.15
"93","09/03/2017",10994,11173,"A","B","D","FF",3,0,1,"A",1,8.84
"94","09/03/2017",13418,13714,"A","B","E","AW",3,0,1,"A",1,8.35
"95","09/03/2017",12371,12607,"A","B","F","FF",3,0,2,"A",2,8.67
"96","09/03/2017",12571,12815,"A","B","F","FF",6,0,2,"A",1,8.88
"97","09/03/2017",6485,6192,"A","B","F","FF",3,0,1,"A",1,8.94
"98","09/03/2017",5773,5315,"A","B","E","FZ",3,0,1,"A",1,8.81
"99","09/03/2017",12701,12949,"A","B","E","CK",3,0,1,"A",1,8.83
"100","09/03/2017",9024,9099,"A","A","E","FZ",2,0,1,"A",2,8.69
"101","09/03/2017",11140,11321,"A","B","D","FF",3,1,1,"A",1,8.11
"102","09/03/2017",4930,4245,"A","C","E","FZ",3,0,3,"A",2,8.73
"103","06/03/2017",3749,2791,"A","B","F","CK",4,2,4,"A",2,8.56
"104","09/03/2017",14764,15377,"A","B","E","CK",2,1,0,"A",2,8.84
"105","09/03/2017",10898,11072,"A","B","F","CK",2,0,2,"A",2,8.11
"106","09/03/2017",2886,1739,"A","B","E","CK",2,0,1,"A",2,8.4
"107","09/03/2017",1732,296,"A","B","F","AW",3,0,1,"A",1,8.71
