OfferAcceptanceDate,CustomerID,ApplianceID
31/05/2017,2523,1283
01/06/2017,5325,4739
02/06/2017,7482,7368
20/06/2017,7450,7328
03/04/2017,7084,6906
04/04/2017,85,4695
05/04/2017,6020,5613
10/04/2017,3319,2271
16/06/2017,484,2086
16/06/2017,13956,14296
03/05/2017,6606,6339
07/04/2017,1770,347
02/04/2017,2511,1271
24/04/2017,191,28
26/04/2017,5826,5384
29/04/2017,6279,5930
15/06/2017,8821,8874
16/06/2017,7513,7404
24/06/2017,13875,14205
12/06/2017,9826,9948
22/06/2017,1516,15160
23/06/2017,10232,10375
04/04/2017,9558,9666
05/04/2017,83,4673
10/04/2017,4198,3349
30/04/2017,331,1024
09/04/2017,11985,12201
11/04/2017,679,3439
11/04/2017,6340,6013
11/04/2017,679,3438
13/04/2017,11297,11481
13/04/2017,8636,8667
18/04/2017,1860,466
19/04/2017,8039,8006
19/04/2017,4413,3620
19/04/2017,934,5051
19/04/2017,12500,12738
19/04/2017,645,3193
21/04/2017,8420,8429
25/04/2017,4166,3312
26/04/2017,1154,6503
26/04/2017,1595,15441
27/04/2017,10957,11133
03/05/2017,1284,7840
04/05/2017,1184,6783
04/05/2017,1135,6362
04/05/2017,4612,3854
08/05/2017,6185,5812
11/05/2017,9069,9147
12/05/2017,3067,1956
13/05/2017,7105,6934
15/05/2017,10939,11115
24/05/2017,4195,3345
01/06/2017,219,335
05/06/2017,2817,1655
13/06/2017,9859,9981
15/06/2017,11863,12070
15/06/2017,8456,8470
17/06/2017,6512,6227
03/04/2017,7522,7414
11/04/2017,9601,9712
13/04/2017,14412,14770
13/04/2017,14470,14879
24/04/2017,7298,7151
28/04/2017,732,3838
01/06/2017,6713,6468
14/06/2017,8346,8345
14/06/2017,1421,14871
14/06/2017,12469,12707
15/06/2017,5120,4472
19/06/2017,7232,7075
29/06/2017,1825,417
07/04/2017,11335,11520
